,tic_p3,filename,anomaly_score_p3,tic_p9,anomaly_score_p9,is_toi,importance_score,normalized_score,score_sum,score_weighted_root_sum,score_sum_norm,score_weighted_root_sumnorm,matched_label,label_group,similarity_score
5599,317060587.0,tess2018206045859-s0001-0000000317060587-0120-s_lc.fits,0.0120481927710843,317060587.0,0.0060240963855421,True,11771.612447089045,0.00017804207283865267,0.00722891566265054,0.10333441850587871,0.0016273393002441171,0.039978234312620486,outlier,outlier,0.4580914598746315
5600,317061205.0,tess2018206045859-s0001-0000000317061205-0120-s_lc.fits,0.0963855421686746,317061205.0,0.2891566265060241,False,,,0.2506024096385542,0.35591473981359945,0.24816924328722537,0.3120550793451772,outlier,outlier,0.5078409805818448
5601,317097104.0,tess2018206045859-s0001-0000000317097104-0120-s_lc.fits,0.0240963855421686,317097104.0,0.0060240963855421,False,,,0.0096385542168674,0.13970709462713965,0.004068348250610259,0.07915849551914224,Pl?,planet_like,0.7984576967926593
5602,317097443.0,tess2018206045859-s0001-0000000317097443-0120-s_lc.fits,0.0120481927710843,317097443.0,0.0180722891566265,False,,,0.01686746987951806,0.11469805088864539,0.011391375101708769,0.052219018673038686,outlier,outlier,0.46330862820003116
5603,317100352.0,tess2018206045859-s0001-0000000317100352-0120-s_lc.fits,0.1485943775100402,317100352.0,0.2048192771084337,False,,,0.19357429718875502,0.3988974576215797,0.19039869812855983,0.3583556073972906,outlier,outlier,0.5162233452389771
5604,317100332.0,tess2018206045859-s0001-0000000317100332-0120-s_lc.fits,0.0120481927710843,317100332.0,0.0060240963855421,False,,,0.00722891566265054,0.10333441850587871,0.0016273393002441171,0.039978234312620486,PM*,stellar,0.7907035901026283
5605,317128611.0,tess2018206045859-s0001-0000000317128611-0120-s_lc.fits,0.0060240963855421,317128611.0,0.0060240963855421,False,,,0.0060240963855421,0.07761505257063284,0.00040683482506103427,0.01227360592482847,outlier,outlier,0.5677182869353966
5606,317130136.0,tess2018206045859-s0001-0000000317130136-0120-s_lc.fits,0.106425702811245,317130136.0,0.3253012048192771,False,,,0.2815261044176707,0.3750539848853745,0.27949552481692436,0.33267167128105213,outlier,outlier,0.590799975768732
5607,317130287.0,tess2018206045859-s0001-0000000317130287-0120-s_lc.fits,0.0240963855421686,317130287.0,0.0180722891566265,False,,,0.01927710843373492,0.1510707270099063,0.013832384052074917,0.09139927987956041,outlier,outlier,0.4008492181659012
5608,317350271.0,tess2018206045859-s0001-0000000317350271-0120-s_lc.fits,0.036144578313253,317350271.0,0.0662650602409639,False,,,0.06024096385542173,0.2035778216179747,0.05532953620829954,0.14795936567256446,outlier,outlier,0.39910010243858185
5609,317350640.0,tess2018206045859-s0001-0000000317350640-0120-s_lc.fits,0.0060240963855421,317350640.0,0.0060240963855421,False,,,0.0060240963855421,0.07761505257063284,0.00040683482506103427,0.01227360592482847,PM*,stellar,0.6160579334299808
5610,317350663.0,tess2018206045859-s0001-0000000317350663-0120-s_lc.fits,0.0642570281124497,317350663.0,0.1204819277108434,False,,,0.10923694779116468,0.2722127736178951,0.1049633848657446,0.22189220851010538,outlier,outlier,0.4239192109750294
5611,318515396.0,tess2018206045859-s0001-0000000318515396-0120-s_lc.fits,0.0060240963855421,318515396.0,0.0060240963855421,False,,,0.0060240963855421,0.07761505257063284,0.00040683482506103427,0.01227360592482847,outlier,outlier,0.5966788254517799
5612,318517928.0,tess2018206045859-s0001-0000000318517928-0120-s_lc.fits,0.0461847389558234,318517928.0,0.0542168674698795,False,,,0.05261044176706828,0.21849411095701038,0.047599674532140035,0.16402703445192768,outlier,outlier,0.4601388330697696
5613,318517959.0,tess2018206045859-s0001-0000000318517959-0120-s_lc.fits,0.036144578313253,318517959.0,0.1325301204819277,False,,,0.11325301204819277,0.22490319328123914,0.10903173311635482,0.170930830002198,PM*,stellar,0.6727274832392109
5614,318518037.0,tess2018206045859-s0001-0000000318518037-0120-s_lc.fits,0.0160642570281124,318518037.0,0.0180722891566265,False,,,0.01767068273092368,0.12828252298080955,0.012205044751830818,0.06685206802990425,Pl,planet_like,0.6618131027832478
5615,318567328.0,tess2018206045859-s0001-0000000318567328-0120-s_lc.fits,0.0481927710843373,318567328.0,0.0903614457831325,False,,,0.08192771084337347,0.23574317718771964,0.07729861676159484,0.18260754577407212,outlier,outlier,0.5229736467343181
5616,318569008.0,tess2018206045859-s0001-0000000318569008-0120-s_lc.fits,0.0220883534136545,318569008.0,0.0180722891566265,False,,,0.0188755020080321,0.14578385137858502,0.013425549227013882,0.0857043134847044,outlier,outlier,0.5016793383858503
