,tic,ra,dec,simbad_main_id,simbad_label,is_tic_named
258,149601557,87.2825084921527,-60.4985327637591,TOI-1033.01,Pl?,False
259,140830390,75.6272819474799,-72.9141390596773,TOI-1072,SB*,False
260,381979901,77.6053854472078,-59.5357402355352,TOI-1085,*,False
261,364393429,116.596244400431,-64.0567463072253,CD-63   345,PM*,False
262,30037565,73.5413604589817,-70.3793107992134,TOI-1209.01,Pl?,False
263,33878688,66.2222796813898,-73.3333453194796,TOI-1210.01,err,False
264,50312495,31.1776968907416,-73.1271665548188,CD-73    88,PM*,False
265,389924075,87.8743441849086,-70.9917864787452,TOI-1212.01,Pl?,False
266,141527965,87.714209420959,-75.6889093722601,TOI-1216.01,Pl?,False
267,294781547,71.4840142036881,-68.7618621385763,TOI-1218.01,Pl?,False
268,349095149,107.921020534513,-65.5090268928937,CD-65   503b,Pl,False
269,382437043,117.215069399442,-63.720242960986,CD-63   350,SB*,False
270,300038935,107.843695538616,-68.8334911423119,HD  56414b,Pl,False
271,69747919,336.575790093566,-18.0111720184775,HD 212657b,Pl,False
272,63698669,5.16497484023517,-33.9844194223118,TOI-1892.01,Pl?,False
273,167009792,95.1016831137145,-66.400697043063,TOI-1941.01,Pl?,False
274,308919449,122.618220317231,-65.8523450134815,CD-65   615,*,False
275,31268146,88.0714696123333,-70.9201313583639,TOI-1948.01,Pl?,False
276,327663613,189.810269322436,-69.5420031786899,TOI-1950.01,Pl?,False
277,41173048,91.2245488940285,-69.3604171908848,TOI-2006.01,Pl?,False
278,237913194,22.4456525767582,-60.7399549074449,TOI-2179,*,False
279,176956893,100.833098986818,-66.9476756192371,TOI-2184b,Pl,False
280,142105158,98.7832877104177,-72.4567985373425,UCAC4 088-012292,*,False
281,280803917,44.5293570602414,-66.9491611298049,UCAC3 47-5868,*,False
282,348995212,107.155878774275,-64.232944066176,UCAC4 129-009870,SB*,False
283,388198242,61.2430546803192,-78.3748366950582,UCAC4 059-002864,*,False
284,231077395,67.6578006094239,-70.3548401988547,HD 270514,*,False
285,349786918,113.043324884675,-65.8116136298528,TYC 8922-1167-1,PM*,False
286,179580045,80.6239672494744,-70.2543960602416,HD 269454,*,False
287,38467100,61.5240054631636,-60.4672521923185,UCAC2   5235314,*,False
288,300812741,116.972998597318,-71.0017375565552,TYC 9184-175-1,PM*,False
289,152800085,343.54467277342,-36.2876993039805,HD 216545,*,False
290,175456679,350.491654894064,-40.1742540648913,HD 220163,**,False
291,177308364,103.422053036387,-73.0755123725594,CD-72   366,*,False
292,279514271,105.762034683878,-55.3683235892175,UCAC4 174-010191,*,False
293,177079323,103.245345523032,-67.5392689221566,TYC 9178-118-1,*,False
294,20897611,1.48486691037514,-20.653741858678,HD    102B,PM*,False
295,382625239,118.388409,-63.769802,HD  65192,**,False
296,149349867,83.7836797080834,-64.1165740939145,TYC 8887-812-1,*,False
297,237922465,57.3388646152597,-60.7871423303485,TOI-2416,*,False
