variant,threshold_percent,n_tois_flagged,avg_normalized_importance,max_normalized_importance
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2,90,43,0.07926893729547775,1.0
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2,10,10,0.23324969248258984,1.0
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2,20,16,0.20210199203230178,1.0
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2,30,20,0.1617119240624203,1.0
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2,40,21,0.15413531775587053,1.0
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2,50,26,0.12522894385335023,1.0
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2,60,32,0.1027803877326855,1.0
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2,70,37,0.08898850346527323,1.0
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2,80,43,0.07683781555331753,1.0
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2,90,46,0.07186331583567282,1.0
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2,10,11,0.28567453917215574,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2,20,16,0.2019492198841637,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2,30,23,0.14103860933424375,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2,40,25,0.12977960849012804,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2,50,29,0.11189778446232054,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2,60,33,0.09867083700153631,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2,70,38,0.0868521492794588,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2,80,42,0.08172881136604905,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2,90,45,0.07628543300091313,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2,100,49,0.07009666352188508,1.0
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2,10,10,0.23324969248258984,1.0
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2,20,17,0.19111311695988906,1.0
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2,30,21,0.15518191767509754,1.0
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2,40,22,0.14813217274519908,1.0
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2,50,27,0.12647540308731947,1.0
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2,60,29,0.1177534327838039,1.0
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2,70,36,0.09496125687814136,1.0
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2,80,38,0.08998703634603815,1.0
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2,90,44,0.07797957070620175,1.0
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2,10,10,0.23324969248258984,1.0
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2,20,14,0.23076074628099472,1.0
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2,30,19,0.1773696847930802,1.0
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2,40,24,0.14117784834380495,1.0
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2,50,28,0.12109157418648045,1.0
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2,60,30,0.11307104572269132,1.0
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2,70,36,0.09431688098719318,1.0
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2,80,44,0.07801087185615313,1.0
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2,90,44,0.07801087185615313,1.0
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2,10,10,0.2332496924825898,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2,20,15,0.20956363357629854,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2,30,19,0.16560145803844786,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2,40,24,0.13217487237233974,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2,50,29,0.11275396239834443,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2,60,34,0.09695435419561924,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2,70,35,0.09787023884027964,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2,80,40,0.08572651450447402,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2,90,47,0.07304959744040748,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2,10,10,0.23324969248258984,1.0
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2,20,13,0.24173724740765012,1.0
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2,30,17,0.192587363349683,1.0
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2,40,22,0.14946946775702963,1.0
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2,50,30,0.11351226547869378,1.0
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2,60,32,0.10697451769700761,1.0
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2,70,37,0.09267150688775118,1.0
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2,80,42,0.08169529069207443,1.0
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2,90,48,0.07155518715322998,1.0
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2,10,12,0.1944006164016664,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2,20,17,0.1901719017300305,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2,30,17,0.1901719017300305,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2,40,20,0.16300090488530977,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2,50,26,0.1261107713744079,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2,60,32,0.10273349049140501,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2,70,38,0.08680873665272205,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2,80,42,0.08166369036147147,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2,90,43,0.07976966826688711,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2,10,11,0.21204995468763393,1.0
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2,20,17,0.19007350151967933,1.0
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2,30,23,0.1409260993394385,1.0
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2,40,27,0.12166466211333347,1.0
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2,50,31,0.10606094873359895,1.0
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2,60,34,0.09673521030847276,1.0
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2,70,39,0.08443422883275833,1.0
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2,80,44,0.07509614842021309,1.0
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2,90,46,0.0718633158356728,1.0
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2,10,10,0.23324969248258984,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2,20,15,0.21538776445374472,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2,30,21,0.15602891444230074,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2,40,23,0.1425843571076698,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2,50,27,0.12151212455516783,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2,60,28,0.11717569825024529,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2,70,32,0.1027457220950498,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2,80,40,0.08233925599140746,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2,90,44,0.07511725269020388,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2,10,10,0.23324969248258984,1.0
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2,20,16,0.20194611357293035,1.0
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2,30,21,0.15506327562951602,1.0
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2,40,27,0.12198968433058438,1.0
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2,50,31,0.10630786572220931,1.0
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2,60,35,0.09421469546222672,1.0
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2,70,37,0.08912882465579679,1.0
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2,80,43,0.07975400690511397,1.0
